#runNumber,lumi per LS (/fb),nEvent,HO_SOI,HO_SOI_iEta+4,HO_SOI_iEta-4,MB2,MB2_wh+1,MB2_wh-1,HO_SOI_iEta+4_MB2_wh+1_ringCrosser,HO_SOI_iEta+4_MB2_wh-1_fakeRingCrosser,HO_SOI_iEta-4_MB2_wh-1_ringCrosser,HO_SOI_iEta-4_MB2_wh+1_fakeRingCrosser
297047,0.000133,94339,42945,428,435,6612,979,1041,4,0,9,0
297048,0.000133,95186,42645,392,423,6743,991,1072,4,0,5,0
297049,0.000133,97896,43421,509,463,6758,996,1046,9,0,3,0
297050,0.000182,72702,31644,305,344,4875,739,736,3,0,4,0
297281,0.000294,109872,66110,655,722,8605,1227,1369,3,0,2,0
297282,0.000250,96621,57763,565,591,7499,1167,1124,8,0,8,0
297283,0.000267,94768,56493,560,571,7412,1191,1088,6,0,4,0
297284,0.000250,98380,57447,530,573,7423,1118,1183,7,0,7,0
297285,0.000200,127208,52877,496,537,6878,1021,1065,5,1,6,0
297286,0.000222,54003,30606,335,319,4049,625,604,6,0,3,0
297287,0.000250,96023,53822,580,576,6915,1008,1069,3,0,6,1
297288,0.000267,93899,51844,497,489,6747,1010,999,2,1,5,0
297289,0.000267,93859,50576,498,530,6568,961,901,5,0,7,0
297290,0.000267,92673,50180,518,512,6440,968,1046,5,1,2,0
297291,0.000235,106074,56499,597,616,7257,1079,1117,5,0,8,0
297494,0.000286,228287,95696,972,976,12119,1791,1881,5,0,13,0
297495,0.000312,105503,60571,596,602,7686,1195,1159,2,1,8,0
297496,0.000304,148333,84873,821,857,10598,1601,1594,8,0,14,0
297497,0.000312,100818,57061,558,552,7003,1080,1063,3,0,2,1
297498,0.000267,100514,55214,553,579,6895,1015,1012,3,0,6,1
297499,0.000312,103056,56286,572,646,6856,1011,1076,5,0,7,1
297501,0.000294,110968,58029,583,569,7225,1058,1044,7,0,4,0
297502,0.000312,108440,56842,587,544,7037,1036,1082,4,1,2,2
297503,0.000250,27153,14209,158,139,1747,275,265,0,0,3,0
297557,0.000316,259838,149442,1501,1522,18658,2816,2778,12,0,16,1
297562,0.000200,345416,126329,1251,1311,15529,2295,2277,17,0,15,0
297605,0.000182,226704,70716,762,730,8677,1268,1251,7,0,6,0
297620,0.000290,1893027,978179,9664,9841,119430,18035,17801,84,2,92,5
297656,0.000296,2551776,1384917,13846,13974,167925,24673,25114,130,8,146,4
297660,0.000211,1480276,539904,5357,5417,66178,9772,9982,50,0,66,1
297661,0.000188,824611,262032,2578,2626,31634,4693,4640,20,0,18,0
297662,0.000250,104235,42114,434,425,5204,772,796,6,0,2,0
297663,0.000250,109306,44030,451,458,5303,789,754,4,0,4,0
297664,0.000211,133532,52892,503,524,6388,932,970,4,0,6,0
297670,0.000312,109485,63310,607,645,7604,1072,1177,4,0,4,0
297672,0.000286,96241,51853,476,501,6590,1046,985,5,0,5,0
297673,0.000267,97839,51783,517,542,6247,928,899,4,0,6,0
297674,0.000500,11685,6526,61,55,756,113,117,1,0,1,1
297723,0.000297,256624,131319,1342,1250,15876,2406,2489,12,0,14,2
